conversation_id,sender,content,timestamp,outcome_name,outcome_description
conv_001,agent,"Thank you for calling PC Support, how can I help you today?",2025-04-27T22:22:05Z,unresolved,Issue was not resolved
conv_001,customer,I'm having issues with my VPN connection; it keeps dropping and I can't stay connected.,2025-04-27T22:22:12Z,unresolved,Issue was not resolved
conv_001,agent,Let's start by checking your internet connection. Can you try disconnecting from the VPN and then running a speed test to see if your internet is stable?,2025-04-27T22:22:20Z,unresolved,Issue was not resolved
conv_001,customer,I've disconnected from the VPN and ran the speed test; my internet connection seems stable with good speeds. What's next?,2025-04-27T22:22:28Z,unresolved,Issue was not resolved
conv_001,agent,"Great! Now let's try reconnecting to the VPN. Once you're connected, can you let me know if you're still experiencing the dropping issue?",2025-04-27T22:22:40Z,unresolved,Issue was not resolved
conv_001,customer,"I've reconnected to the VPN, but the connection is still dropping intermittently.",2025-04-27T22:22:47Z,unresolved,Issue was not resolved
conv_001,agent,"Let's check your VPN settings. Can you go into the VPN application and look for any options related to ""Keep Alive"" or ""Reconnect automatically""? Make sure those settings are enabled.",2025-04-27T22:23:02Z,unresolved,Issue was not resolved
conv_001,customer,"I've checked the VPN settings, and both ""Keep Alive"" and ""Reconnect automatically"" are enabled. The connection is still dropping. What should we try next?",2025-04-27T22:23:09Z,unresolved,Issue was not resolved
conv_001,agent,"Let's try changing the VPN protocol. In your VPN application, look for an option to switch between different protocols like OpenVPN, IKEv2, or L2TP. Can you change the protocol and then reconnect to see if that stabilizes the connection?",2025-04-27T22:23:20Z,unresolved,Issue was not resolved
conv_001,customer,"I've changed the VPN protocol to OpenVPN and reconnected, but the connection is still dropping intermittently. What do you recommend next?",2025-04-27T22:23:34Z,unresolved,Issue was not resolved
conv_001,agent,"Let's try temporarily disabling any firewall or antivirus software you have running, as they can sometimes interfere with VPN connections. Can you disable them for a moment and see if that helps stabilize your VPN connection?",2025-04-27T22:23:43Z,unresolved,Issue was not resolved
conv_001,customer,"I've disabled the firewall and antivirus software, but the VPN connection is still dropping. What should we try next?",2025-04-27T22:23:51Z,unresolved,Issue was not resolved
conv_001,agent,"Let's check if there are any network drivers that need updating. Can you go to Device Manager, find your network adapter, right-click on it, and select ""Update driver""? After updating, please reconnect to the VPN and let me know if the issue persists.",2025-04-27T22:24:00Z,unresolved,Issue was not resolved
conv_001,customer,"I've updated the network drivers and reconnected to the VPN, but the connection is still dropping intermittently. What else can we try?",2025-04-27T22:24:06Z,unresolved,Issue was not resolved
conv_001,agent,"Let's try resetting your network settings. You can do this by going to Settings > Network & Internet > Status, then scroll down and select ""Network reset."" After the reset, reconnect to the VPN and check if the issue is resolved.",2025-04-27T22:24:17Z,unresolved,Issue was not resolved
conv_001,customer,"I've performed the network reset and reconnected to the VPN, but unfortunately, the connection is still dropping intermittently. What do you suggest next?",2025-04-27T22:24:26Z,unresolved,Issue was not resolved
conv_002,agent,"Thank you for calling PC Support, how can I help you today?",2025-04-27T22:22:05Z,unresolved,Issue was not resolved
conv_002,customer,"My computer won't turn on at all. I've checked the power source and everything, but nothing happens.",2025-04-27T22:22:12Z,unresolved,Issue was not resolved
conv_002,agent,"Let's try a couple of troubleshooting steps. First, can you please ensure that the power cable is securely connected to both the wall outlet and the computer? If it is, try holding down the power button for about 10 seconds and then attempt to turn it on again.",2025-04-27T22:22:19Z,unresolved,Issue was not resolved
conv_002,customer,"I've already checked the power cable, but I'll hold down the power button for 10 seconds and try turning it on again.",2025-04-27T22:22:27Z,unresolved,Issue was not resolved
conv_002,agent,"Did the computer power on after holding down the button for 10 seconds? If not, can you check if there are any lights or sounds coming from the computer when you try to turn it on?",2025-04-27T22:22:34Z,unresolved,Issue was not resolved
conv_002,customer,No lights or sounds at all. It's completely dead.,2025-04-27T22:22:46Z,unresolved,Issue was not resolved
conv_002,agent,"Let's try a different approach. Please unplug the power cable from the wall and the computer, then press and hold the power button for 15 seconds to discharge any residual power. After that, plug the power cable back in and try turning it on again.",2025-04-27T22:22:54Z,unresolved,Issue was not resolved
